Types,HPCS-320
version,1.37.0
Describe,TEST
Test date,2025-07-30
Test time,16:35:32
E(lx),610.28
Candle E(fc),56.72
CCT(K),6348
Duv,0.00732
CIE x,0.3145
CIE y,0.3390
CIE u,0.1954
CIE v,0.3159
CIE u',0.1954
CIE v',0.4738
SDCM,1.15
Ra,96.0
R1,95
R2,97
R3,99
R4,95
R5,95
R6,96
R7,98
R8,93
R9,78
R10,94
R11,94
R12,94
R13,95
R14,99
R15,93
S/P,2.419
Dominant(nm),495.60
Purity(%),6.0
Half width(nm),302.6
Peak(nm),479.6
Center(nm),562.3
Centroid(nm),575.9
R ratio(%),40.1
G ratio(%),33.5
B ratio(%),26.3
Integral Time(ms),616.00
Peak Signal,47448
Dark Signal,2976
Compensate level,2540
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,1.361905,
381,1.378417,
382,1.442479,
383,1.533490,
384,1.641358,
385,1.742445,
386,1.821548,
387,1.861445,
388,1.875032,
389,1.877464,
390,1.882464,
391,1.911067,
392,1.992554,
393,2.148830,
394,2.360871,
395,2.615988,
396,2.904911,
397,3.197385,
398,3.422493,
399,3.588589,
400,3.686866,
401,3.741055,
402,3.772799,
403,3.798506,
404,3.812058,
405,3.859764,
406,3.942708,
407,4.056243,
408,4.218643,
409,4.428278,
410,4.648605,
411,4.883882,
412,5.111132,
413,5.325691,
414,5.530827,
415,5.726279,
416,5.886876,
417,6.027749,
418,6.123658,
419,6.202322,
420,6.283074,
421,6.345997,
422,6.375207,
423,6.412660,
424,6.418918,
425,6.417739,
426,6.465750,
427,6.571405,
428,6.720909,
429,6.939794,
430,7.185583,
431,7.409939,
432,7.606997,
433,7.719721,
434,7.797241,
435,7.848897,
436,7.874088,
437,7.949738,
438,8.076609,
439,8.185622,
440,8.328820,
441,8.510335,
442,8.686108,
443,8.876840,
444,9.109116,
445,9.293587,
446,9.399778,
447,9.417614,
448,9.400692,
449,9.309161,
450,9.201856,
451,9.111516,
452,9.078198,
453,9.058455,
454,9.071677,
455,9.103975,
456,9.139433,
457,9.188339,
458,9.264942,
459,9.344071,
460,9.407414,
461,9.459019,
462,9.476122,
463,9.447676,
464,9.401054,
465,9.357859,
466,9.321155,
467,9.275525,
468,9.235707,
469,9.209095,
470,9.184690,
471,9.163990,
472,9.180288,
473,9.225748,
474,9.288052,
475,9.393713,
476,9.525442,
477,9.656464,
478,9.773731,
479,9.844253,
480,9.849705,
481,9.791409,
482,9.696152,
483,9.607236,
484,9.541259,
485,9.474809,
486,9.408140,
487,9.341148,
488,9.244494,
489,9.166255,
490,9.111397,
491,9.075715,
492,9.063314,
493,9.065453,
494,9.037507,
495,9.009166,
496,8.985792,
497,8.969547,
498,8.971890,
499,8.980845,
500,9.010366,
501,9.057614,
502,9.106215,
503,9.132954,
504,9.141930,
505,9.135918,
506,9.124646,
507,9.069946,
508,8.990302,
509,8.910154,
510,8.798519,
511,8.652360,
512,8.517607,
513,8.412862,
514,8.348631,
515,8.345087,
516,8.411259,
517,8.531371,
518,8.674055,
519,8.801258,
520,8.916927,
521,9.005093,
522,9.070580,
523,9.138717,
524,9.215832,
525,9.283105,
526,9.339129,
527,9.368971,
528,9.371662,
529,9.354707,
530,9.332419,
531,9.299675,
532,9.271512,
533,9.226562,
534,9.151720,
535,9.069811,
536,8.996504,
537,8.929778,
538,8.887078,
539,8.884832,
540,8.907896,
541,8.954606,
542,9.009363,
543,9.065077,
544,9.124082,
545,9.181730,
546,9.227338,
547,9.274732,
548,9.313096,
549,9.334531,
550,9.331106,
551,9.307748,
552,9.254913,
553,9.178517,
554,9.080688,
555,8.982280,
556,8.883926,
557,8.798907,
558,8.731117,
559,8.675084,
560,8.605304,
561,8.526036,
562,8.453567,
563,8.368948,
564,8.269610,
565,8.191299,
566,8.137925,
567,8.090737,
568,8.077872,
569,8.092118,
570,8.117144,
571,8.143672,
572,8.170656,
573,8.189466,
574,8.220940,
575,8.268532,
576,8.320867,
577,8.382033,
578,8.438350,
579,8.472223,
580,8.453714,
581,8.381321,
582,8.247360,
583,8.048109,
584,7.822573,
585,7.593058,
586,7.385153,
587,7.233639,
588,7.138166,
589,7.079953,
590,7.068369,
591,7.087820,
592,7.119770,
593,7.176265,
594,7.264791,
595,7.358402,
596,7.475381,
597,7.612836,
598,7.753439,
599,7.882936,
600,7.995459,
601,8.073980,
602,8.102152,
603,8.075532,
604,8.007874,
605,7.906100,
606,7.784285,
607,7.659363,
608,7.560076,
609,7.488906,
610,7.423519,
611,7.363620,
612,7.329633,
613,7.310454,
614,7.282483,
615,7.257150,
616,7.224325,
617,7.184127,
618,7.130971,
619,7.059445,
620,6.979932,
621,6.907373,
622,6.818841,
623,6.732327,
624,6.663392,
625,6.597755,
626,6.555225,
627,6.548233,
628,6.556685,
629,6.560161,
630,6.580745,
631,6.610335,
632,6.637362,
633,6.677259,
634,6.716616,
635,6.750593,
636,6.774874,
637,6.786497,
638,6.771683,
639,6.745215,
640,6.708570,
641,6.648184,
642,6.573875,
643,6.492898,
644,6.414084,
645,6.349003,
646,6.304665,
647,6.269366,
648,6.223607,
649,6.187788,
650,6.144594,
651,6.106255,
652,6.074314,
653,6.080095,
654,6.096308,
655,6.125835,
656,6.174429,
657,6.226460,
658,6.257007,
659,6.277460,
660,6.280761,
661,6.259704,
662,6.249779,
663,6.249747,
664,6.235738,
665,6.222117,
666,6.197228,
667,6.179180,
668,6.150817,
669,6.128273,
670,6.115736,
671,6.124842,
672,6.137733,
673,6.151156,
674,6.161645,
675,6.165792,
676,6.170960,
677,6.155694,
678,6.112115,
679,6.030502,
680,5.926013,
681,5.776999,
682,5.579693,
683,5.390234,
684,5.229475,
685,5.108601,
686,5.042863,
687,5.008869,
